date,pcr,positive,discharge,symptomlessDischarge,symptomDischarge,severe,death
20200205,31,10,,,,,0
20200206,,,,,,,0
20200207,273,61,,,,,0
20200208,279,64,,,,,0
20200209,336,70,,,,,0
20200210,439,135,,,,,0
20200211,,,,,,,0
20200212,,,,,,,0
20200213,713,218,,,,,0
20200214,,,,,,,0
20200215,930,285,,,,,0
20200216,1219,355,,,,,0
20200217,1723,454,,,,,0
20200218,2404,542,,,,,0
20200219,3011,621,,,,,0
20200220,3063,634,,,,,2
20200221,3063,634,,,,,2
20200222,,,,,,,2
20200223,3894,691,,,,,3
20200224,3894,691,,,,,3
20200225,3894,691,,,,,4
20200226,3894,691,,,,,4
20200227,4061,705,,,,,4
20200228,4061,705,,,,,6
20200229,4061,705,,,,,6
20200301,4061,705,100,,,34,6
20200302,4061,705,,,,,6
20200303,4089,706,164,,,,6
20200304,4089,688,181,,,35,6
20200305,3711,696,199,121,78,35,6
20200306,3711,696,242,160,82,34,7
20200307,3711,696,245,,,32,7
