接触場所,カテゴリ,緯度（世界測地系）,経度（世界測地系）,情報源
LIVE HOUSE Rumio,イベント関連店,34.698794,135.5036716,"https://www.google.com/maps/place/LIVE+HOUSE+Rumio/@34.698794,135.5036716,17z/data=!3m1!4b1!4m5!3m4!1s0x6000e6e9e6655551:0x8be5ce664751849c!8m2!3d34.6987896!4d135.5058603"
Soap opera classics-Umeda,イベント関連店,34.6976168,135.503047,"https://www.google.com/maps/place/soap+opera+classics+Umeda/@34.6976168,135.503047,17z/data=!3m1!4b1!4m5!3m4!1s0x6000e711000d422b:0xb3fd5475914913de!8m2!3d34.6976168!4d135.5052357"
大阪京橋ライブハウスArc,イベント関連店,34.6946371,135.5265766,"https://www.google.com/maps/place/%E3%83%A9%E3%82%A4%E3%83%96%E3%83%8F%E3%82%A6%E3%82%B9Arc/@34.6946371,135.5265766,19z/data=!3m1!4b1!4m5!3m4!1s0x6000e0d50c36aaab:0x9227e4df046df6a5!8m2!3d34.694636!4d135.5271238"
ライブハウス Arc (大阪市),イベント関連店,34.6946371,135.5265766,"https://www.google.com/maps/place/%E3%83%A9%E3%82%A4%E3%83%96%E3%83%8F%E3%82%A6%E3%82%B9Arc/@34.6946371,135.5265766,19z/data=!3m1!4b1!4m5!3m4!1s0x6000e0d50c36aaab:0x9227e4df046df6a5!8m2!3d34.694636!4d135.5271238"
グリーンアルス伊丹,介護施設,34.79089,135.375373,"https://www.google.com/maps/place/%E4%BB%8B%E8%AD%B7%E8%80%81%E4%BA%BA%E4%BF%9D%E9%99%BA%E6%96%BD%E8%A8%AD+%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%E3%82%A2%E3%83%AB%E3%82%B9%E4%BC%8A%E4%B8%B9/@34.7906376,135.3731955,17z/data=!3m1!4b1!4m5!3m4!1s0x6000f158b4064dd3:0xd40136a2f0f90b1a!8m2!3d34.7906332!4d135.3753842?hl=ja"
北見総合卸センター,展示場,43.8047513,143.8305773,"https://www.google.com/maps/place/%E5%8C%97%E8%A6%8B%E7%B6%9C%E5%90%88%E5%8D%B8%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC+%E4%BA%8B%E5%8B%99%E5%B1%80/@43.804672,143.829523,17z/data=!3m1!4b1!4m5!3m4!1s0x5f6d56409191468d:0xa629f36bfaecfc3a!8m2!3d43.804672!4d143.831717?hl=ja"
杉並区佼成病院,医療施設,35.690169,139.65572,"https://www.google.com/maps/place/%E4%BD%BC%E6%88%90%E7%97%85%E9%99%A2/@35.6901695,139.6536404,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f2f1293563db:0x6735d72924da79aa!8m2!3d35.6901652!4d139.6558344?hl=ja"
相模原中央病院,医療施設,35.568483,139.373601,"https://www.google.com/maps/place/%E7%9B%B8%E6%A8%A1%E5%8E%9F%E4%B8%AD%E5%A4%AE%E7%97%85%E9%99%A2/@35.5683173,139.370994,17z/data=!3m1!4b1!4m5!3m4!1s0x6018fd79839c361d:0x28cba3fc1ac416de!8m2!3d35.568313!4d139.373188?hl=ja"
新潟市立山潟保育園,学校・保育施設,37.888532,139.071732,"https://www.google.com/maps/place/%E3%80%92950-0925+%E6%96%B0%E6%BD%9F%E7%9C%8C%E6%96%B0%E6%BD%9F%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E5%BC%81%E5%A4%A9%E6%A9%8B%E9%80%9A%EF%BC%93%E4%B8%81%E7%9B%AE%EF%BC%92%E2%88%92%EF%BC%91%EF%BC%98+%E5%B8%82%E7%AB%8B%E5%B1%B1%E6%BD%9F%E4%BF%9D%E8%82%B2%E5%9C%92/@37.888388,139.069157,17z/data=!3m1!4b1!4m5!3m4!1s0x5ff4c93d31c6a457:0xb26264f67523cf4f!8m2!3d37.8883838!4d139.071351?hl=ja"
中部労災病院,医療施設,35.108978,136.889817,"https://www.google.com/maps/place/%E4%B8%AD%E9%83%A8%E3%82%8D%E3%81%86%E3%81%95%E3%81%84%E7%97%85%E9%99%A2/@35.1087854,136.887403,17z/data=!3m1!4b1!4m5!3m4!1s0x60037993c1ea1965:0xecd40f759d3c9a31!8m2!3d35.108781!4d136.889597?hl=ja"
