date,source,target,value
2020-02-06,"PCR検査陽性者
100.00%","無症状者
0%",0
2020-02-06,"無症状者
0%","退院した者
25%",0
2020-02-06,"無症状者
0%","入院治療を要する者
56.25%",0
2020-02-06,"入院治療を要する者
56.25%","無症状入院中の者
0%",0
2020-02-06,"入院治療を要する者
56.25%","入院待機中の者
0%",0
2020-02-06,"PCR検査陽性者
100.00%","有症状者
100%",16
2020-02-06,"有症状者
100%","退院した者
25%",4
2020-02-06,"有症状者
100%","入院治療を要する者
56.25%",9
2020-02-06,"入院治療を要する者
56.25%","軽〜中等症の者
0%",0
2020-02-06,"入院治療を要する者
56.25%","人工呼吸又は
ICUに入院している者
0%",0
2020-02-06,"入院治療を要する者
56.25%","確認中
18.75%",3
2020-02-06,"入院治療を要する者
56.25%","入院待機中の者
0%",0
2020-02-06,"有症状者
100%","死亡者
0%",0
2020-02-06,"PCR検査陽性者
100.00%","症状有無確認中
0%",0
2020-02-07,"PCR検査陽性者
100.00%","無症状者
0%",0
2020-02-07,"無症状者
0%","退院した者
25%",0
2020-02-07,"無症状者
0%","入院治療を要する者
75%",0
2020-02-07,"入院治療を要する者
75%","無症状入院中の者
0%",0
2020-02-07,"入院治療を要する者
75%","入院待機中の者
0%",0
2020-02-07,"PCR検査陽性者
100.00%","有症状者
100%",16
2020-02-07,"有症状者
100%","退院した者
25%",4
2020-02-07,"有症状者
100%","入院治療を要する者
75%",12
2020-02-07,"入院治療を要する者
75%","軽〜中等症の者
0%",0
2020-02-07,"入院治療を要する者
75%","人工呼吸又は
ICUに入院している者
0%",0
2020-02-07,"入院治療を要する者
75%","確認中
0%",0
2020-02-07,"入院治療を要する者
75%","入院待機中の者
0%",0
2020-02-07,"有症状者
100%","死亡者
0%",0
2020-02-07,"PCR検査陽性者
100.00%","症状有無確認中
0%",0
2020-02-08,"PCR検査陽性者
100.00%","無症状者
0%",0
2020-02-08,"無症状者
0%","退院した者
25%",0
2020-02-08,"無症状者
0%","入院治療を要する者
75%",0
2020-02-08,"入院治療を要する者
75%","無症状入院中の者
0%",0
2020-02-08,"入院治療を要する者
75%","入院待機中の者
0%",0
2020-02-08,"PCR検査陽性者
100.00%","有症状者
100%",16
2020-02-08,"有症状者
100%","退院した者
25%",4
2020-02-08,"有症状者
100%","入院治療を要する者
75%",12
2020-02-08,"入院治療を要する者
75%","軽〜中等症の者
0%",0
2020-02-08,"入院治療を要する者
75%","人工呼吸又は
ICUに入院している者
0%",0
2020-02-08,"入院治療を要する者
75%","確認中
0%",0
2020-02-08,"入院治療を要する者
75%","入院待機中の者
0%",0
2020-02-08,"有症状者
100%","死亡者
0%",0
2020-02-08,"PCR検査陽性者
100.00%","症状有無確認中
0%",0
2020-02-09,"PCR検査陽性者
100.00%","無症状者
0%",0
2020-02-09,"無症状者
0%","退院した者
25%",0
