ja,en,cn
北海道,Hokkaido,北海道
青森県,Aomori,青森县
岩手県,Iwate,岩手县
宮城県,Miyagi,宫城县
秋田県,Akita,秋田县
山形県,Yamagata,山形县
福島県,Fukushima,福岛县
茨城県,Ibaraki,茨城县
栃木県,Tochigi,栃木县
群馬県,Gunma,群马县
埼玉県,Saitama,埼玉县
千葉県,Chiba,千叶县
東京都,Tokyo,东京都
神奈川県,Kanagawa,神奈川县
新潟県,Niigata,新泻县
富山県,Toyama,富山县
石川県,Ishikawa,石川县
福井県,Fukui,福井县
山梨県,Yamanashi,山梨县
長野県,Nagano,长野县
岐阜県,Gifu,岐阜县
静岡県,Shizuoka,静冈县
愛知県,Aichi,爱知县
三重県,Mie,三重县
滋賀県,Shiga,滋贺县
京都府,Kyoto,京都府
大阪府,Osaka,大阪府
兵庫県,Hyogo,兵库县
奈良県,Nara,奈良县
和歌山県,Wakayama,和歌山县
鳥取県,Tottori,鸟取县
島根県,Shimane,岛根县
岡山県,Okayama,冈山县
広島県,Hiroshima,广岛县
山口県,Yamaguchi,山口县
徳島県,Tokushima,德岛县
香川県,Kagawa,香川县
愛媛県,Ehime,爱媛县
高知県,Kochi,高知县
福岡県,Fukuoka,福冈县
佐賀県,Saga,佐贺县
長崎県,Nagasaki,长崎県
熊本県,Kumamoto,熊本县
大分県,Oita,大分县
宮崎県,Miyazaki,宫崎县
鹿児島県,Kagoshima,鹿儿岛县
沖縄県,Okinawa,冲绳县
千代田区,Chiyoda,千代田区
中央区,Chuo ward,中央区
港区,Minato ward,港区
新宿区,Shinjuku ward,新宿区
文京区,Bunkyo Ward,文京区
台東区,Taito,台东区
墨田区,Sumida Ward,墨田区
江東区,Koto Ward,江东区
品川区,Shinagawa Ward,品川区
目黒区,Meguro,目黑区
大田区,Ota ward,大田区
世田谷区,Setagaya,世田谷区
渋谷区,Shibuya Ward,涩谷区
中野区,Nakano,中野区
杉並区,Suginami,杉并区
豊島区,Toshima ward,丰岛区
北区,Kita Ward,北区
荒川区,Arakawa,荒川区
板橋区,Itabashi,板桥区
練馬区,Nerima Ward,练马区
足立区,Adachi Ward,足立区
葛飾区,Katsushika,葛饰区
江戸川区,Edogawa Ward,江户川区
八王子市,Hachioji City,八王子市
立川市,Tachikawa,立川市
武蔵野市,Musashino,武藏野市
三鷹市,Mitaka City,三鹰市
青梅市,Ome City,青梅市
府中市,Fuchu,府中市
昭島市,Akishima City,昭岛市
調布市,Chofu,调布市
町田市,Machida,町田市
小金井市,Koganei,小金井市
小平市,Kodaira,小平市
日野市,Hino city,日野市
東村山市,Higashimurayama City,东村山市
国分寺市,Kokubunji,国分寺市
国立市,National city,国立市
福生市,Fussa City,福生市
狛江市,Komae City,狛江市
東大和市,Higashiyamato,东大和市
清瀬市,Kiyose City,清濑市
東久留米市,Higashi Kurume City,东久留米市
武蔵村山市,Musashimurayama City,武藏村山市
多摩市,Tama City,多摩市
稲城市,Inagi City,稻城市
羽村市,Hamura,羽村市
あきる野市,Akiruno City,秋留野市
西東京市,West Tokyo,西东京市
瑞穂町,Mizuho Town,瑞穗町
横浜市鶴見区,"Tsurumi Ward, Yokohama City",横滨市鹤见区
横浜市神奈川区,"Kanagawa ward, Yokohama",横滨神奈川区
横浜市西区,"Nishi ward, Yokohama",横滨西区
横浜市中区,"Naka City, Yokohama City",横滨市中市
横浜市南区,"Minami Ward, Yokohama City",横滨市南区
横浜市港南区,"Konan Ward, Yokohama City",横滨市港南区
横浜市保土ケ谷区,"Hodogaya Ward, Yokohama City",横滨市保土谷区
横浜市旭区,"Asahi Ward, Yokohama City",横滨市旭区
横浜市磯子区,"Isogo Ward, Yokohama City",横滨市矶子区
横浜市金沢区,"Kanazawa Ward, Yokohama City",横滨市金泽区
横浜市港北区,"Kohoku Ward, Yokohama City",横滨市港北区
横浜市緑区,"Midori Ward, Yokohama City",横滨市绿区
横浜市青葉区,"Aoba Ward, Yokohama City",横滨市青叶区
横浜市都筑区,"Tsuzuki Ward, Yokohama City",横滨市都筑区
横浜市戸塚区,"Totsuka Ward, Yokohama City",横滨市户冢区
横浜市栄区,"Sakae Ward, Yokohama City",横滨市荣区
横浜市泉区,"Izumi Ward, Yokohama City",横滨市泉区
横浜市瀬谷区,"Seya Ward, Yokohama City",横滨市濑谷区
茅ケ崎市,Chigasaki,茅崎市
寒川町,Samukawa Town,寒川町
平塚市,Hiratsuka,平冢市
鎌倉市,Kamakura city,镰仓市
小田原市,Odawara city,小田原市
逗子市,Zushi city,逗子市
三浦市,Miura,三浦市
秦野市,Hadano,秦野市
厚木市,Atsugi City,厚木市
大和市,Yamato City,大和市
伊勢原市,Isehara,伊势原市
海老名市,Ebina,海老名市
座間市,Zama City,座间市
南足柄市,Minamiashigara,南足柄市
綾瀬市,Ayase City,绫濑市
葉山町,Hayama Town,叶山町
大磯町,Oiso Town,大矶町
二宮町,Ninomiya town,二宫町
開成町,Kaisei Town,开成町
箱根町,Hakone,箱根市
愛川町,Aikawa Town,爱川町
相模原市緑区,Sagamihara City Midori Ward,相模原市绿区
相模原市中央区,"Chuo Ward, Sagamihara City",相模原市中央区
相模原市南区,"Minami Ward, Sagamihara City",相模原市南区
札幌市,Sapporo,札幌市
七飯町,Nanae Town,七饭町
