regionAttr,sickBed,update,source
北海道,400,20200418,https://news.yahoo.co.jp/story/1605
青森,99,20200428,https://www.toonippo.co.jp/articles/-/345796
岩手,93,20200421,https://news.yahoo.co.jp/story/1605
宮城,78,20200409,https://news.yahoo.co.jp/story/1605
秋田,93,20200411,https://www.kahoku.co.jp/tohokunews/202004/20200411_43019.html
山形,150,20200324,https://news.yahoo.co.jp/story/1605
福島,111,20200410,https://news.yahoo.co.jp/story/1605
茨城,200,20200227,https://news.yahoo.co.jp/story/1605
栃木,130,20200407,https://news.yahoo.co.jp/story/1605
群馬,200,20200417,https://news.yahoo.co.jp/story/1605
埼玉,300,20200417,https://news.yahoo.co.jp/story/1605
千葉,247,20200402,https://r.nikkei.com/article/DGXMZO57579250S0A400C2L71000?s=5
東京,2000,20200424,https://news.yahoo.co.jp/story/1605
神奈川,1000,20200415,https://news.yahoo.co.jp/story/1605
新潟,236,20200416,https://news.yahoo.co.jp/story/1605
富山,191,20200422,https://news.yahoo.co.jp/story/1605
石川,170,20200422,https://news.yahoo.co.jp/story/1605
福井,100,20200414,https://news.yahoo.co.jp/story/1605
山梨,80,20200416,https://www.nikkei.com/article/DGXMZO58155510W0A410C2000000/
長野,227,20200411,https://news.yahoo.co.jp/story/1605
岐阜,458,20200410,https://news.yahoo.co.jp/story/1605
静岡,88,20200422,https://news.yahoo.co.jp/story/1605
愛知,300,20200415,https://news.yahoo.co.jp/story/1605
三重,124,20200417,https://news.yahoo.co.jp/story/1605
滋賀,88,20200422,https://news.yahoo.co.jp/story/1605
京都,210,20200422,https://news.yahoo.co.jp/story/1605
大阪,900,20200424,https://news.yahoo.co.jp/story/1605
兵庫,366,20200424,https://news.yahoo.co.jp/story/1605
奈良,230,20200416,https://news.yahoo.co.jp/story/1605
和歌山,98,20200414,https://news.yahoo.co.jp/story/1605
鳥取,322,20200426,https://news.yahoo.co.jp/story/1605
島根,200,20200413,https://news.yahoo.co.jp/story/1605
岡山,120,20200413,https://news.yahoo.co.jp/story/1605
広島,119,20200420,https://news.yahoo.co.jp/story/1605
山口,40,20200415,https://news.yahoo.co.jp/story/1605
徳島,130,20200414,https://news.yahoo.co.jp/story/1605
香川,24,20200417,https://news.yahoo.co.jp/story/1605
愛媛,70,20200422,https://news.yahoo.co.jp/story/1605
高知,74,20200422,https://news.yahoo.co.jp/story/1605
福岡,300,20200421,https://news.yahoo.co.jp/story/1605
佐賀,24,20200410,https://news.yahoo.co.jp/story/1605
長崎,102,20200410,https://news.yahoo.co.jp/story/1605
熊本,312,20200420,https://news.yahoo.co.jp/story/1605
大分,200,20200417,https://news.yahoo.co.jp/story/1605
宮崎,56,20200416,https://news.yahoo.co.jp/story/1605
鹿児島,45,20200427,https://news.yahoo.co.jp/story/1605
沖縄,118,20200422,https://news.yahoo.co.jp/story/1605
