全国地方公共団体コード,都道府県名,市区町村名,受付_年月日,相談件数.対応.
20001,青森県,,2020年3月23日,34
20001,青森県,,2020年3月24日,31
20001,青森県,,2020年3月25日,27
20001,青森県,,2020年3月26日,23
20001,青森県,,2020年3月27日,37
20001,青森県,,2020年3月28日,29
20001,青森県,,2020年3月29日,36
20001,青森県,,2020年3月30日,61
20001,青森県,,2020年3月31日,46
20001,青森県,,2020年4月1日,46
20001,青森県,,2020年4月2日,72
20001,青森県,,2020年4月3日,96
20001,青森県,,2020年4月4日,131
20001,青森県,,2020年4月5日,113
20001,青森県,,2020年4月6日,59
20001,青森県,,2020年4月7日,73
20001,青森県,,2020年4月8日,73
20001,青森県,,2020年4月9日,70
20001,青森県,,2020年4月10日,84
20001,青森県,,2020年4月11日,126
20001,青森県,,2020年4月12日,113
20001,青森県,,2020年4月13日,68
20001,青森県,,2020年4月14日,60
20001,青森県,,2020年4月15日,55
20001,青森県,,2020年4月16日,72
20001,青森県,,2020年4月17日,57
20001,青森県,,2020年4月18日,80
20001,青森県,,2020年4月19日,87
20001,青森県,,2020年4月20日,39
"","",,"",
"","",,"",
※当日午前9時から翌日午前9時までの件数,"",,"",
