年月日,現在患者数,現在患者数.前日比.,入院患者,入院患者.前日比.,宿泊療養施設入所者,宿泊療養施設入所者.前日比.,自宅療養者,自宅療養者.前日比.,施設療養者,施設療養者.前日比.,調整中,調整中.前日比.,確保病床数,確保病床数.うち重症.,備考
2022-02-26,26547,105,832,-1,272,-25,21422,-141,1518,14,2503,258,1689,110,""
2022-02-27,26884,337,821,-11,303,31,21733,311,1550,32,2477,-26,1689,110,2022-03-04修正（現在患者数1名減）
2022-02-28,25283,-1601,821,0,272,-31,20733,-1000,1616,66,1841,-636,1689,110,2022-03-04修正（現在患者数2名減）
2022-03-01,24017,-1266,783,-38,267,-5,19674,-1059,1483,-133,1810,-31,1689,110,""
2022-03-02,23137,-880,783,0,258,-9,19017,-657,1512,29,1567,-243,1689,110,""
2022-03-03,22979,-158,778,-5,259,1,18773,-244,1519,7,1650,83,1689,110,""
2022-03-04,22174,-805,763,-15,262,3,17923,-850,1539,20,1687,37,1689,110,""
2022-03-05,21777,-397,761,-2,268,6,17432,-491,1556,17,1760,73,1689,110,""
2022-03-06,21196,-581,760,-1,263,-5,16719,-713,1584,28,1870,110,1689,110,2022-03-08修正（現在患者数1名減）
2022-03-07,20600,-596,747,-13,272,9,16249,-470,1585,1,1747,-123,1689,110,""
2022-03-08,19734,-866,725,-22,271,-1,15642,-607,1465,-120,1631,-116,1689,110,""
2022-03-09,19822,88,676,-49,256,-15,15861,219,1341,-124,1688,57,1689,110,""
2022-03-10,19863,41,639,-37,249,-7,16271,410,1166,-175,1538,-150,1689,110,""
2022-03-11,18949,-914,614,-25,269,20,15435,-836,1189,23,1442,-96,1689,110,""
2022-03-12,18986,37,598,-16,275,6,15620,185,1100,-89,1393,-49,1689,110,""
2022-03-13,18704,-282,564,-34,280,5,15385,-235,960,-140,1515,122,1689,110,""
2022-03-14,18042,-662,561,-3,288,8,15034,-351,917,-43,1242,-273,1712,110,""
2022-03-15,17372,-670,539,-22,271,-17,14514,-520,793,-124,1255,13,1712,110,""
2022-03-16,17533,161,518,-21,250,-21,14916,402,676,-117,1173,-82,1712,110,""
2022-03-17,17268,-265,490,-28,256,6,14835,-81,594,-82,1093,-80,1712,110,""
2022-03-18,16775,-493,476,-14,256,0,14429,-406,530,-64,1084,-9,1712,110,""
2022-03-19,16449,-326,456,-20,274,18,14226,-203,484,-46,1009,-75,1712,110,""
2022-03-20,16298,-151,430,-26,267,-7,14147,-79,457,-27,997,-12,1712,110,""
2022-03-21,15794,-504,427,-3,267,0,13625,-522,434,-23,1041,44,1712,110,""
2022-03-22,15233,-561,427,0,269,2,13290,-335,423,-11,824,-217,1653,102,""
2022-03-23,14879,-354,395,-32,255,-14,13024,-266,420,-3,785,-39,1653,102,""
2022-03-24,15181,302,391,-4,221,-34,13521,497,389,-31,659,-126,1653,102,""
2022-03-25,15628,447,372,-19,214,-7,14179,658,368,-21,495,-164,1653,102,""
2022-03-26,15845,217,359,-13,221,7,14405,226,364,-4,496,1,1653,102,2022-03-28修正（現在患者数1名減）
2022-03-27,15691,-154,345,-14,236,15,14207,-198,331,-33,572,76,1653,102,""
2022-03-28,16074,383,344,-1,258,22,14636,429,330,-1,506,-66,1653,102,""
2022-03-29,15769,-305,341,-3,260,2,14327,-309,289,-41,552,46,1653,102,""
2022-03-30,15860,91,323,-18,240,-20,14491,164,271,-18,535,-17,1653,102,""
2022-03-31,16611,751,330,7,242,2,15102,611,241,-30,696,161,1653,102,""
2022-04-01,17163,552,317,-13,250,8,15471,369,224,-17,901,205,1653,102,""
2022-04-02,17672,509,341,24,261,11,15815,344,227,3,1028,127,1653,102,""
2022-04-03,18154,482,342,1,282,21,16109,294,232,5,1189,161,1653,102,""
2022-04-04,18466,312,348,6,272,-10,16149,40,234,2,1463,274,1653,102,""
2022-04-05,18476,10,392,44,282,10,16024,-125,238,4,1540,77,1653,102,""
2022-04-06,19230,754,381,-11,293,11,16570,546,247,9,1739,199,1653,102,""
2022-04-07,19739,509,396,15,295,2,17022,452,249,2,1777,38,1653,102,""
2022-04-08,19965,226,395,-1,286,-9,17230,208,192,-57,1862,85,1653,102,""
2022-04-09,19582,-383,381,-14,304,18,16849,-381,178,-14,1870,8,1653,102,2022-04-23修正（現在患者数1名減）
2022-04-10,19893,311,346,-35,349,45,17045,196,175,-3,1978,108,1653,102,""
2022-04-11,19745,-148,337,-9,358,9,16888,-157,175,0,1987,9,1653,102,""
2022-04-12,19694,-51,342,5,361,3,16840,-48,172,-3,1979,-8,1653,102,""
2022-04-13,20501,807,370,28,338,-23,17762,922,184,12,1847,-132,1653,102,""
2022-04-14,21205,704,354,-16,316,-22,18483,721,184,0,1868,21,1653,102,""
2022-04-15,21337,132,359,5,325,9,18818,335,189,5,1646,-222,1653,102,""
2022-04-16,21298,-39,377,18,315,-10,18563,-255,181,-8,1862,216,1653,102,""
2022-04-17,21254,-44,358,-19,318,3,18674,111,181,0,1723,-139,1653,102,""
2022-04-18,20766,-488,370,12,310,-8,18515,-159,179,-2,1392,-331,1653,102,""
2022-04-19,20482,-284,340,-30,301,-9,18338,-177,180,1,1323,-69,1653,102,""
2022-04-20,21247,765,317,-23,295,-6,19191,853,212,32,1232,-91,1653,102,""
2022-04-21,22308,1061,307,-10,295,0,20343,1152,221,9,1142,-90,1653,102,""
2022-04-22,22800,492,300,-7,279,-16,20735,392,266,45,1220,78,1675,106,""
2022-04-23,23032,232,316,16,290,11,21050,315,259,-7,1117,-103,1675,106,""
2022-04-24,23369,337,310,-6,314,24,21390,340,258,-1,1097,-20,1675,106,""
2022-04-25,23068,-301,319,9,319,5,21391,1,267,9,772,-325,1675,106,""
2022-04-26,23077,9,337,18,313,-6,21468,77,270,3,689,-83,1675,106,""
2022-04-27,24006,929,355,18,313,0,22136,668,274,4,928,239,1675,106,""
2022-04-28,24686,680,367,12,312,-1,22770,634,287,13,950,22,1675,106,""
2022-04-29,25278,592,375,8,290,-22,23250,480,346,59,1017,67,1675,106,""
2022-04-30,25096,-182,384,9,262,-28,22929,-321,368,22,1153,136,1675,106,""
2022-05-01,24552,-544,391,7,272,10,22258,-671,380,12,1251,98,1675,106,""
2022-05-02,23961,-591,388,-3,267,-5,21906,-352,408,28,992,-259,1675,106,""
2022-05-03,23126,-835,369,-19,241,-26,21306,-600,372,-36,838,-154,1675,106,""
2022-05-04,22548,-578,386,17,221,-20,20589,-717,411,39,941,103,1675,106,""
2022-05-05,21591,-957,384,-2,224,3,19591,-998,441,30,951,10,1675,106,""
2022-05-06,20586,-1005,392,8,212,-12,18634,-957,464,23,884,-67,1675,106,""
2022-05-07,19814,-772,381,-11,202,-10,17840,-794,480,16,911,27,1675,106,""
2022-05-08,20769,955,387,6,210,8,18559,719,490,10,1123,212,1675,106,""
2022-05-09,21342,573,392,5,222,12,19194,635,500,10,1034,-89,1675,106,""
2022-05-10,21373,31,401,9,251,29,19125,-69,517,17,1079,45,1675,106,""
2022-05-11,22794,1421,420,19,291,40,20388,1263,481,-36,1214,135,1675,106,""
2022-05-12,24510,1716,424,4,317,26,22163,1775,443,-38,1163,-51,1675,106,""
2022-05-13,25372,862,423,-1,381,64,22990,827,444,1,1134,-29,1675,106,2022-06-07修正（陽性患者1名減）
2022-05-14,26199,827,435,12,409,28,23790,800,480,36,1085,-49,1675,106,""
2022-05-15,26167,-32,418,-17,442,33,23541,-249,547,67,1219,134,1675,106,""
2022-05-16,26334,167,432,14,472,30,23695,154,605,58,1130,-89,1675,106,""
2022-05-17,25774,-560,415,-17,452,-20,23254,-441,600,-5,1053,-77,1675,106,""
2022-05-18,25880,106,420,5,414,-38,23168,-86,596,-4,1282,229,1675,106,""
2022-05-19,25916,36,428,8,415,1,23249,81,625,29,1199,-83,1675,106,""
2022-05-20,25220,-696,451,23,372,-43,22579,-670,610,-15,1208,9,1675,106,""
2022-05-21,24633,-587,447,-4,337,-35,22155,-424,604,-6,1090,-118,1675,106,""
2022-05-22,23944,-689,460,13,337,0,21351,-804,641,37,1155,65,1675,106,""
2022-05-23,23212,-732,457,-3,321,-16,20743,-608,613,-28,1078,-77,1675,106,""
2022-05-24,22122,-1090,452,-5,326,5,19878,-865,626,13,840,-238,1675,106,""
2022-05-25,21679,-443,432,-20,326,0,19416,-462,618,-8,887,47,1675,106,""
2022-05-26,21155,-524,409,-23,312,-14,19068,-348,580,-38,786,-101,1675,106,""
2022-05-27,20827,-328,416,7,294,-18,18777,-291,593,13,747,-39,1675,106,""
2022-05-28,20087,-740,426,10,287,-7,18068,-709,600,7,706,-41,1675,106,""
2022-05-29,18802,-1285,422,-4,270,-17,16812,-1256,605,5,693,-13,1675,106,""
2022-05-30,18231,-571,423,1,271,1,16320,-492,655,50,562,-131,1675,106,""
2022-05-31,16473,-1758,389,-34,253,-18,14742,-1578,620,-35,469,-93,1675,106,""
2022-06-01,15634,-839,355,-34,226,-27,13975,-767,500,-120,578,109,1675,106,""
2022-06-02,14891,-743,340,-15,214,-12,13387,-588,469,-31,481,-97,1675,106,""
2022-06-03,14286,-605,330,-10,204,-10,12819,-568,471,2,462,-19,1675,106,""
2022-06-04,13278,-1008,326,-4,198,-6,11923,-896,379,-92,452,-10,1675,106,""
2022-06-05,12673,-605,312,-14,197,-1,11260,-663,376,-3,528,76,1675,106,""
2022-06-06,11969,-704,315,3,195,-2,10652,-608,373,-3,434,-94,1675,106,""
2022-06-07,11295,-674,288,-27,194,-1,10033,-619,390,17,390,-44,1675,106,""
2022-06-08,11249,-46,267,-21,189,-5,10057,24,347,-43,389,-1,1749,108,""
2022-06-09,11003,-246,275,8,178,-11,9840,-217,315,-32,395,6,1749,108,""
2022-06-10,10492,-511,254,-21,172,-6,9382,-458,297,-18,387,-8,1749,108,""
2022-06-11,10039,-453,241,-13,165,-7,8986,-396,293,-4,354,-33,1749,108,""
2022-06-12,9964,-75,243,2,150,-15,8909,-77,294,1,368,14,1749,108,""
2022-06-13,9691,-273,244,1,135,-15,8707,-202,283,-11,322,-46,1749,108,""
2022-06-14,8941,-750,233,-11,137,2,7995,-712,278,-5,298,-24,1749,108,""
2022-06-15,8565,-376,221,-12,127,-10,7646,-349,217,-61,354,56,1749,108,""
2022-06-16,8315,-250,221,0,122,-5,7481,-165,224,7,267,-87,1749,108,""
2022-06-17,8149,-166,215,-6,130,8,7299,-182,214,-10,291,24,1749,108,""
2022-06-18,7690,-459,206,-9,121,-9,6925,-374,202,-12,236,-55,1749,108,""
2022-06-19,7466,-224,201,-5,132,11,6679,-246,204,2,250,14,1749,108,""
2022-06-20,7219,-247,207,6,130,-2,6466,-213,204,0,212,-38,1749,108,""
2022-06-21,6788,-431,194,-13,129,-1,6064,-402,175,-29,226,14,1749,108,""
2022-06-22,6774,-14,197,3,118,-11,6124,60,137,-38,198,-28,1749,108,""
2022-06-23,6659,-115,200,3,117,-1,5987,-137,129,-8,226,28,1749,108,""
2022-06-24,6621,-38,202,2,117,0,5896,-91,112,-17,294,68,1749,108,""
2022-06-25,6274,-347,198,-4,116,-1,5585,-311,97,-15,278,-16,1749,108,""
2022-06-26,6173,-101,199,1,113,-3,5511,-74,97,0,253,-25,1749,108,""
2022-06-27,5942,-231,198,-1,123,10,5264,-247,96,-1,261,8,1749,108,""
2022-06-28,5161,-781,176,-22,106,-17,4590,-674,55,-41,234,-27,1749,108,""
2022-06-29,5200,39,164,-12,105,-1,4602,12,53,-2,276,42,1749,108,""
2022-06-30,5259,59,147,-17,105,0,4686,84,52,-1,269,-7,1749,108,""
2022-07-01,5265,6,142,-5,109,4,4678,-8,42,-10,294,25,1435,90,""
2022-07-02,5223,-42,144,2,106,-3,4653,-25,28,-14,292,-2,1435,90,""
2022-07-03,5309,86,146,2,105,-1,4607,-46,73,45,378,86,1435,90,""
2022-07-04,5164,-145,147,1,110,5,4436,-171,50,-23,421,43,1435,90,""
2022-07-05,5065,-99,166,19,115,5,4349,-87,37,-13,398,-23,1435,90,""
2022-07-06,5343,278,166,0,114,-1,4570,221,44,7,449,51,1435,90,""
2022-07-07,5752,409,180,14,122,8,4959,389,59,15,432,-17,1435,90,""
2022-07-08,5961,209,177,-3,147,25,5115,156,64,5,458,26,1435,90,""
