country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,nameJa
JP,Japan,"","",2020-02-15,-1,4,7,1,4,0,全国
JP,Japan,"","",2020-02-16,-9,-6,-35,-10,-2,2,全国
JP,Japan,"","",2020-02-17,-2,1,-5,-1,0,1,全国
JP,Japan,"","",2020-02-18,1,2,1,-2,0,1,全国
JP,Japan,"","",2020-02-19,0,2,8,-3,0,0,全国
JP,Japan,"","",2020-02-20,1,4,4,-3,0,0,全国
JP,Japan,"","",2020-02-21,-1,2,7,-2,0,1,全国
JP,Japan,"","",2020-02-22,-5,1,-10,-3,-1,2,全国
JP,Japan,"","",2020-02-23,1,3,16,2,0,0,全国
JP,Japan,"","",2020-02-24,18,4,54,-27,-55,14,全国
JP,Japan,"","",2020-02-25,0,7,0,-2,1,1,全国
JP,Japan,"","",2020-02-26,-4,3,-5,-5,1,1,全国
JP,Japan,"","",2020-02-27,-3,6,-4,-7,0,1,全国
JP,Japan,"","",2020-02-28,-2,14,-4,-10,1,2,全国
JP,Japan,"","",2020-02-29,-10,9,-22,-21,3,4,全国
JP,Japan,"","",2020-03-01,-10,9,-1,-23,1,4,全国
JP,Japan,"","",2020-03-02,-10,3,-15,-15,-2,4,全国
JP,Japan,"","",2020-03-03,-2,9,11,-15,-2,4,全国
JP,Japan,"","",2020-03-04,-12,-2,-21,-19,-4,5,全国
JP,Japan,"","",2020-03-05,-9,3,-8,-18,-4,4,全国
JP,Japan,"","",2020-03-06,-9,2,5,-18,-4,5,全国
JP,Japan,"","",2020-03-07,-12,2,-8,-24,-4,5,全国
JP,Japan,"","",2020-03-08,-17,-4,-35,-31,-5,6,全国
JP,Japan,"","",2020-03-09,-7,2,11,-15,-3,4,全国
JP,Japan,"","",2020-03-10,-9,-3,-28,-18,-5,6,全国
JP,Japan,"","",2020-03-11,-3,4,13,-16,-4,3,全国
JP,Japan,"","",2020-03-12,-3,5,16,-15,-4,3,全国
JP,Japan,"","",2020-03-13,-5,3,10,-17,-4,5,全国
JP,Japan,"","",2020-03-14,-14,-4,-39,-27,-7,7,全国
JP,Japan,"","",2020-03-15,-7,5,9,-21,-3,3,全国
JP,Japan,"","",2020-03-16,-7,0,-7,-15,-3,4,全国
JP,Japan,"","",2020-03-17,-1,4,14,-15,-4,4,全国
JP,Japan,"","",2020-03-18,-3,3,20,-14,-4,3,全国
JP,Japan,"","",2020-03-19,4,6,17,-10,-4,2,全国
JP,Japan,"","",2020-03-20,7,6,40,-34,-54,17,全国
JP,Japan,"","",2020-03-21,-6,5,34,-15,-7,3,全国
JP,Japan,"","",2020-03-22,-9,1,18,-18,-3,3,全国
JP,Japan,"","",2020-03-23,-4,0,11,-13,-3,3,全国
JP,Japan,"","",2020-03-24,0,3,14,-13,-4,4,全国
JP,Japan,"","",2020-03-25,2,8,31,-11,-4,2,全国
JP,Japan,"","",2020-03-26,0,13,26,-13,-5,3,全国
JP,Japan,"","",2020-03-27,-10,3,-9,-19,-7,6,全国
JP,Japan,"","",2020-03-28,-18,1,-23,-33,-8,7,全国
JP,Japan,"","",2020-03-29,-26,-7,-25,-41,-9,7,全国
JP,Japan,"","",2020-03-30,-7,4,-2,-20,-8,5,全国
JP,Japan,"","",2020-03-31,-4,7,9,-20,-7,5,全国
JP,Japan,"","",2020-04-01,-20,-5,-29,-25,-10,7,全国
JP,Japan,"","",2020-04-02,-12,6,13,-23,-10,6,全国
JP,Japan,"","",2020-04-03,-14,6,26,-25,-11,7,全国
JP,Japan,"","",2020-04-04,-21,6,26,-35,-12,8,全国
JP,Japan,"","",2020-04-05,-25,2,3,-43,-13,8,全国
JP,Japan,"","",2020-04-06,-13,7,15,-24,-11,7,全国
JP,Japan,"","",2020-04-07,-12,6,17,-27,-13,8,全国
JP,Japan,"","",2020-04-08,-22,2,16,-34,-16,9,全国
JP,Japan,"","",2020-04-09,-24,2,8,-36,-17,10,全国
JP,Japan,"","",2020-04-10,-26,4,0,-38,-18,12,全国
JP,Japan,"","",2020-04-11,-30,4,3,-48,-22,12,全国
JP,Japan,Aichi,"",2020-02-15,0,3,8,-4,4,0,愛知
JP,Japan,Aichi,"",2020-02-16,-8,-6,-42,-12,-2,3,愛知
JP,Japan,Aichi,"",2020-02-17,-1,1,1,-2,1,1,愛知
JP,Japan,Aichi,"",2020-02-18,0,-1,0,-4,0,1,愛知
JP,Japan,Aichi,"",2020-02-19,1,1,6,-4,1,1,愛知
JP,Japan,Aichi,"",2020-02-20,3,4,5,-4,0,0,愛知
JP,Japan,Aichi,"",2020-02-21,0,2,9,-2,0,1,愛知
JP,Japan,Aichi,"",2020-02-22,-5,-1,-23,-8,-2,3,愛知
JP,Japan,Aichi,"",2020-02-23,-2,2,-3,-5,-1,1,愛知
JP,Japan,Aichi,"",2020-02-24,17,2,53,-25,-44,11,愛知
JP,Japan,Aichi,"",2020-02-25,-2,5,-1,-4,1,1,愛知
JP,Japan,Aichi,"",2020-02-26,-2,4,5,-6,1,1,愛知
JP,Japan,Aichi,"",2020-02-27,-2,6,-1,-9,1,2,愛知
JP,Japan,Aichi,"",2020-02-28,-2,14,0,-13,1,2,愛知
JP,Japan,Aichi,"",2020-02-29,-9,9,-31,-29,2,5,愛知
JP,Japan,Aichi,"",2020-03-01,-10,10,8,-29,1,4,愛知
JP,Japan,Aichi,"",2020-03-02,-7,6,8,-17,-1,3,愛知
JP,Japan,Aichi,"",2020-03-03,-3,8,19,-21,-3,3,愛知
JP,Japan,Aichi,"",2020-03-04,-13,-2,-20,-21,-3,5,愛知
JP,Japan,Aichi,"",2020-03-05,-8,3,-8,-22,-3,4,愛知
JP,Japan,Aichi,"",2020-03-06,-11,2,5,-23,-3,5,愛知
JP,Japan,Aichi,"",2020-03-07,-12,4,10,-33,-3,5,愛知
JP,Japan,Aichi,"",2020-03-08,-23,-10,-57,-42,-8,8,愛知
JP,Japan,Aichi,"",2020-03-09,-6,2,25,-18,-3,3,愛知
JP,Japan,Aichi,"",2020-03-10,-12,-5,-32,-23,-5,6,愛知
JP,Japan,Aichi,"",2020-03-11,-4,4,10,-20,-3,4,愛知
JP,Japan,Aichi,"",2020-03-12,-3,5,23,-20,-3,3,愛知
