date,検査数,相談件数,検査数累計,相談件数累計,陽性数,陽性数累計
2020-02-01,1,0,1,0,0,0
2020-02-02,0,0,1,0,0,0
2020-02-03,0,0,1,0,0,0
2020-02-04,0,77,1,77,0,0
2020-02-05,0,58,1,135,0,0
2020-02-06,1,43,2,178,0,0
2020-02-07,1,30,3,208,0,0
2020-02-08,2,20,5,228,0,0
2020-02-09,0,15,5,243,0,0
2020-02-10,1,23,6,266,0,0
2020-02-11,0,11,6,277,0,0
2020-02-12,0,25,6,302,0,0
2020-02-13,0,23,6,325,0,0
2020-02-14,1,55,7,380,0,0
2020-02-15,0,48,7,428,0,0
2020-02-16,0,44,7,472,0,0
2020-02-17,1,112,8,584,0,0
2020-02-18,2,125,10,709,0,0
2020-02-19,5,125,15,834,0,0
2020-02-20,2,116,17,950,0,0
2020-02-21,1,137,18,1087,0,0
2020-02-22,1,143,19,1230,0,0
2020-02-23,1,144,20,1374,0,0
2020-02-24,3,177,23,1551,0,0
2020-02-25,3,266,26,1817,0,0
2020-02-26,5,213,31,2030,0,0
2020-02-27,1,242,32,2272,0,0
2020-02-28,1,248,33,2520,0,0
2020-02-29,7,339,40,2859,1,1
2020-03-01,1,242,41,3101,0,1
2020-03-02,2,318,43,3419,0,1
2020-03-03,13,259,56,3678,0,1
2020-03-04,3,249,59,3927,0,1
2020-03-05,6,220,65,4147,0,1
2020-03-06,6,228,71,4375,0,1
2020-03-07,5,135,76,4510,0,1
2020-03-08,1,143,77,4653,0,1
2020-03-09,5,248,82,4901,0,1
2020-03-10,13,224,95,5125,0,1
2020-03-11,7,176,102,5301,0,1
2020-03-12,8,171,110,5472,0,1
2020-03-13,6,186,116,5658,0,1
2020-03-14,11,95,127,5753,0,1
2020-03-15,2,116,129,5869,0,1
2020-03-16,0,194,129,6063,0,1
2020-03-17,9,158,138,6221,0,1
2020-03-18,6,163,144,6384,0,1
2020-03-19,5,151,149,6535,0,1
2020-03-20,7,110,156,6645,0,1
2020-03-21,0,115,156,6760,0,1
2020-03-22,4,103,160,6863,0,1
2020-03-23,2,179,162,7042,0,1
2020-03-24,13,146,175,7188,0,1
2020-03-25,5,167,180,7355,0,1
2020-03-26,7,217,187,7572,1,2
2020-03-27,6,276,193,7848,0,2
2020-03-28,9,215,202,8063,0,2
2020-03-29,6,219,208,8282,2,4
2020-03-30,4,451,212,8733,2,6
2020-03-31,42,522,254,9255,1,7
2020-04-01,55,655,309,9910,4,11
2020-04-02,40,528,349,10438,1,12
2020-04-03,44,583,393,11021,6,18
2020-04-04,95,689,488,11710,2,20
2020-04-05,63,861,551,12571,3,23
2020-04-06,21,751,572,13322,3,26
2020-04-07,59,752,631,14074,6,32
2020-04-08,0,0,631,14074,1,33
