県名,日付,検査数,累積陽性者数,累積経路不明数,週間陽性率,日別経路不明数,日別陽性者数,週間陽性率（経路不明のみ）,日別検査数,陽性(発症日),陽性(経路不明)(発症日),陽性(渡航歴)(発症日),週間ラグ平均,週間ラグ平均(経路不明)
北海道,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
青森県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
岩手県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
宮城県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
秋田県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
山形県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
福島県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
茨城県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
栃木県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
群馬県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
埼玉県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
千葉県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
東京都,2020/1/25,3,2,0,0,0,1,0,0,0,0,0,4,N/A
神奈川県,2020/1/25,0,1,0,0,0,0,0,0,0,0,0,N/A,N/A
新潟県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
富山県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
石川県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
福井県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
山梨県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
長野県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
岐阜県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
静岡県,2020/1/25,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A
愛知県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
三重県,2020/1/25,0,0,0,0,0,0,0,0,1,0,1,N/A,N/A
滋賀県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
京都府,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
大阪府,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
兵庫県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
奈良県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
和歌山県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
鳥取県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
島根県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
岡山県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
広島県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
山口県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
徳島県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
香川県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
愛媛県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
高知県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
福岡県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
佐賀県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
長崎県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
熊本県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
大分県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
宮崎県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
鹿児島県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
沖縄県,2020/1/25,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
北海道,2020/1/26,2,0,0,0,0,0,0,2,1,0,1,N/A,N/A
青森県,2020/1/26,1,0,0,0,0,0,0,1,0,0,0,N/A,N/A
岩手県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
宮城県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
秋田県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
山形県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
福島県,2020/1/26,1,0,0,0,0,0,0,1,0,0,0,N/A,N/A
茨城県,2020/1/26,1,0,0,0,0,0,0,1,0,0,0,N/A,N/A
栃木県,2020/1/26,1,0,0,0,0,0,0,1,0,0,0,N/A,N/A
群馬県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
埼玉県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
千葉県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
東京都,2020/1/26,3,2,0,0,0,0,0,0,0,0,0,N/A,N/A
神奈川県,2020/1/26,20,1,0,0,0,0,0,20,0,0,0,N/A,N/A
新潟県,2020/1/26,2,0,0,0,0,0,0,2,0,0,0,N/A,N/A
富山県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
石川県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
福井県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
山梨県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
長野県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
岐阜県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
静岡県,2020/1/26,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A
愛知県,2020/1/26,11,1,0,0,0,1,0,11,0,0,0,3,N/A
三重県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
滋賀県,2020/1/26,1,0,0,0,0,0,0,1,0,0,0,N/A,N/A
京都府,2020/1/26,1,0,0,0,0,0,0,1,0,0,0,N/A,N/A
大阪府,2020/1/26,1,0,0,0,0,0,0,1,0,0,0,N/A,N/A
兵庫県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
奈良県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
和歌山県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
鳥取県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
島根県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
岡山県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
広島県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
山口県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
徳島県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
香川県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
愛媛県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
高知県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
福岡県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
佐賀県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
長崎県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
熊本県,2020/1/26,3,0,0,0,0,0,0,3,0,0,0,N/A,N/A
大分県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
宮崎県,2020/1/26,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
鹿児島県,2020/1/26,1,0,0,0,0,0,0,1,0,0,0,N/A,N/A
沖縄県,2020/1/26,2,0,0,0,0,0,0,2,0,0,0,N/A,N/A
北海道,2020/1/27,5,0,0,0,0,0,0,3,0,0,0,N/A,N/A
青森県,2020/1/27,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A
岩手県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
宮城県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
秋田県,2020/1/27,1,0,0,0,0,0,0,1,0,0,0,N/A,N/A
山形県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
福島県,2020/1/27,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A
茨城県,2020/1/27,2,0,0,0,0,0,0,1,0,0,0,N/A,N/A
栃木県,2020/1/27,2,0,0,0,0,0,0,1,0,0,0,N/A,N/A
群馬県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
埼玉県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
千葉県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
東京都,2020/1/27,4,2,0,0,0,0,0,1,0,0,0,N/A,N/A
神奈川県,2020/1/27,41,1,0,0,0,0,0,21,0,0,0,N/A,N/A
新潟県,2020/1/27,3,0,0,0,0,0,0,1,0,0,0,N/A,N/A
富山県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
石川県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
福井県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
山梨県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
長野県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
岐阜県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
静岡県,2020/1/27,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A
愛知県,2020/1/27,22,1,0,0,0,0,0,11,0,0,0,N/A,N/A
三重県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
滋賀県,2020/1/27,2,0,0,0,0,0,0,1,0,0,0,N/A,N/A
京都府,2020/1/27,3,0,0,0,0,0,0,2,0,0,0,N/A,N/A
大阪府,2020/1/27,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A
兵庫県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
奈良県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
和歌山県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
鳥取県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
島根県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
岡山県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
広島県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
山口県,2020/1/27,1,0,0,0,0,0,0,1,0,0,0,N/A,N/A
徳島県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
香川県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
愛媛県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
高知県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
福岡県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
佐賀県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
長崎県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
熊本県,2020/1/27,5,0,0,0,0,0,0,2,0,0,0,N/A,N/A
大分県,2020/1/27,1,0,0,0,0,0,0,1,0,0,0,N/A,N/A
宮崎県,2020/1/27,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
鹿児島県,2020/1/27,2,0,0,0,0,0,0,1,0,0,0,N/A,N/A
沖縄県,2020/1/27,3,0,0,0,0,0,0,1,0,0,0,N/A,N/A
北海道,2020/1/28,7,1,0,0,0,1,0,2,0,0,0,2,N/A
青森県,2020/1/28,2,0,0,0,0,0,0,1,0,0,0,N/A,N/A
岩手県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
宮城県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
秋田県,2020/1/28,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A
山形県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
福島県,2020/1/28,2,0,0,0,0,0,0,1,0,0,0,N/A,N/A
茨城県,2020/1/28,3,0,0,0,0,0,0,1,0,0,0,N/A,N/A
栃木県,2020/1/28,3,0,0,0,0,0,0,1,0,0,0,N/A,N/A
群馬県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
埼玉県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
千葉県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
東京都,2020/1/28,4,2,0,0,0,0,0,0,0,0,0,N/A,N/A
神奈川県,2020/1/28,61,1,0,0,0,0,0,20,0,0,0,N/A,N/A
新潟県,2020/1/28,5,0,0,0,0,0,0,2,0,0,0,N/A,N/A
富山県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
石川県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
福井県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
山梨県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
長野県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
岐阜県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
静岡県,2020/1/28,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A
愛知県,2020/1/28,34,2,0,0,0,1,0,12,0,0,0,6,N/A
三重県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
滋賀県,2020/1/28,3,0,0,0,0,0,0,1,0,0,0,N/A,N/A
京都府,2020/1/28,4,0,0,0,0,0,0,1,0,0,0,N/A,N/A
大阪府,2020/1/28,2,0,0,0,0,0,0,1,0,0,0,N/A,N/A
兵庫県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
奈良県,2020/1/28,0,1,0,0,0,1,0,0,0,0,0,14,N/A
和歌山県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
鳥取県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
島根県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
岡山県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
広島県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
山口県,2020/1/28,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A
徳島県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
香川県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
愛媛県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
高知県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
福岡県,2020/1/28,1,0,0,0,0,0,0,1,0,0,0,N/A,N/A
佐賀県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
長崎県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
熊本県,2020/1/28,8,0,0,0,0,0,0,3,0,0,0,N/A,N/A
大分県,2020/1/28,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A
宮崎県,2020/1/28,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
鹿児島県,2020/1/28,3,0,0,0,0,0,0,1,0,0,0,N/A,N/A
沖縄県,2020/1/28,5,0,0,0,0,0,0,2,0,0,0,N/A,N/A
北海道,2020/1/29,10,1,0,0,0,0,0,3,0,0,0,N/A,N/A
青森県,2020/1/29,2,0,0,0,0,0,0,0,0,0,0,N/A,N/A
岩手県,2020/1/29,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
宮城県,2020/1/29,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
秋田県,2020/1/29,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A
山形県,2020/1/29,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
福島県,2020/1/29,3,0,0,0,0,0,0,1,0,0,0,N/A,N/A
茨城県,2020/1/29,5,0,0,0,0,0,0,2,0,0,0,N/A,N/A
栃木県,2020/1/29,4,0,0,0,0,0,0,1,0,0,0,N/A,N/A
群馬県,2020/1/29,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
埼玉県,2020/1/29,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
千葉県,2020/1/29,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
東京都,2020/1/29,8,2,0,0,0,0,0,4,1,1,0,N/A,N/A
神奈川県,2020/1/29,82,1,0,0,0,0,0,21,0,0,0,N/A,N/A
新潟県,2020/1/29,6,0,0,0,0,0,0,1,0,0,0,N/A,N/A
富山県,2020/1/29,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
石川県,2020/1/29,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
福井県,2020/1/29,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
山梨県,2020/1/29,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
長野県,2020/1/29,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
岐阜県,2020/1/29,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
静岡県,2020/1/29,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A
愛知県,2020/1/29,45,2,0,0,0,0,0,11,0,0,0,N/A,N/A
三重県,2020/1/29,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
滋賀県,2020/1/29,4,0,0,0,0,0,0,1,0,0,0,N/A,N/A
京都府,2020/1/29,6,0,0,0,0,0,0,2,0,0,0,N/A,N/A
大阪府,2020/1/29,2,1,0,0,0,1,0,0,0,0,0,9,N/A
兵庫県,2020/1/29,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
奈良県,2020/1/29,0,1,0,0,0,0,0,0,0,0,0,N/A,N/A
和歌山県,2020/1/29,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
鳥取県,2020/1/29,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
島根県,2020/1/29,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
岡山県,2020/1/29,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
広島県,2020/1/29,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
山口県,2020/1/29,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A
徳島県,2020/1/29,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
香川県,2020/1/29,3,0,0,0,0,0,0,3,0,0,0,N/A,N/A
愛媛県,2020/1/29,1,0,0,0,0,0,0,1,0,0,0,N/A,N/A
高知県,2020/1/29,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
福岡県,2020/1/29,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A
佐賀県,2020/1/29,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
長崎県,2020/1/29,1,0,0,0,0,0,0,1,0,0,0,N/A,N/A
熊本県,2020/1/29,11,0,0,0,0,0,0,3,0,0,0,N/A,N/A
大分県,2020/1/29,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A
宮崎県,2020/1/29,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
鹿児島県,2020/1/29,4,0,0,0,0,0,0,1,0,0,0,N/A,N/A
沖縄県,2020/1/29,6,0,0,0,0,0,0,1,0,0,0,N/A,N/A
北海道,2020/1/30,12,1,0,0,0,0,0,2,0,0,0,N/A,N/A
青森県,2020/1/30,3,0,0,0,0,0,0,1,0,0,0,N/A,N/A
岩手県,2020/1/30,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
宮城県,2020/1/30,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
秋田県,2020/1/30,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A
山形県,2020/1/30,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
福島県,2020/1/30,4,0,0,0,0,0,0,1,0,0,0,N/A,N/A
茨城県,2020/1/30,6,0,0,0,0,0,0,1,0,0,0,N/A,N/A
栃木県,2020/1/30,5,0,0,0,0,0,0,1,0,0,0,N/A,N/A
群馬県,2020/1/30,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
埼玉県,2020/1/30,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
千葉県,2020/1/30,0,2,0,0,0,2,0,0,1,0,1,N/A,N/A
東京都,2020/1/30,9,3,0,0,0,1,0,1,0,0,0,6,N/A
神奈川県,2020/1/30,102,1,0,0,0,0,0,20,0,0,0,N/A,N/A
新潟県,2020/1/30,8,0,0,0,0,0,0,2,0,0,0,N/A,N/A
富山県,2020/1/30,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
石川県,2020/1/30,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
福井県,2020/1/30,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
山梨県,2020/1/30,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
長野県,2020/1/30,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
岐阜県,2020/1/30,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
静岡県,2020/1/30,2,0,0,0,0,0,0,1,0,0,0,N/A,N/A
愛知県,2020/1/30,56,2,0,0,0,0,0,11,0,0,0,N/A,N/A
三重県,2020/1/30,2,1,0,0,0,1,0,2,0,0,0,5,N/A
滋賀県,2020/1/30,5,0,0,0,0,0,0,1,0,0,0,N/A,N/A
京都府,2020/1/30,7,1,0,0,0,1,0,1,0,0,0,7,N/A
大阪府,2020/1/30,2,1,0,0,0,0,0,0,0,0,0,N/A,N/A
兵庫県,2020/1/30,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
奈良県,2020/1/30,0,1,0,0,0,0,0,0,0,0,0,N/A,N/A
和歌山県,2020/1/30,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
鳥取県,2020/1/30,1,0,0,0,0,0,0,1,0,0,0,N/A,N/A
島根県,2020/1/30,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
岡山県,2020/1/30,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
広島県,2020/1/30,1,0,0,0,0,0,0,1,0,0,0,N/A,N/A
山口県,2020/1/30,2,0,0,0,0,0,0,1,0,0,0,N/A,N/A
徳島県,2020/1/30,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
香川県,2020/1/30,3,0,0,0,0,0,0,0,0,0,0,N/A,N/A
愛媛県,2020/1/30,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A
高知県,2020/1/30,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
福岡県,2020/1/30,4,0,0,0,0,0,0,3,0,0,0,N/A,N/A
佐賀県,2020/1/30,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
長崎県,2020/1/30,1,0,0,0,0,0,0,0,0,0,0,N/A,N/A
熊本県,2020/1/30,13,0,0,0,0,0,0,2,0,0,0,N/A,N/A
大分県,2020/1/30,2,0,0,0,0,0,0,1,0,0,0,N/A,N/A
宮崎県,2020/1/30,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
鹿児島県,2020/1/30,5,0,0,0,0,0,0,1,0,0,0,N/A,N/A
沖縄県,2020/1/30,8,0,0,0,0,0,0,2,0,0,0,N/A,N/A
北海道,2020/1/31,15,1,0,N/A,0,0,N/A,3,1,1,0,N/A,N/A
青森県,2020/1/31,3,0,0,N/A,0,0,N/A,0,0,0,0,N/A,N/A
岩手県,2020/1/31,1,0,0,N/A,0,0,N/A,1,0,0,0,N/A,N/A
宮城県,2020/1/31,0,0,0,N/A,0,0,N/A,0,0,0,0,N/A,N/A
秋田県,2020/1/31,2,0,0,N/A,0,0,N/A,1,0,0,0,N/A,N/A
山形県,2020/1/31,1,0,0,N/A,0,0,N/A,1,0,0,0,N/A,N/A
福島県,2020/1/31,4,0,0,N/A,0,0,N/A,0,0,0,0,N/A,N/A
茨城県,2020/1/31,9,0,0,N/A,0,0,N/A,3,0,0,0,N/A,N/A
栃木県,2020/1/31,6,0,0,N/A,0,0,N/A,1,0,0,0,N/A,N/A
群馬県,2020/1/31,1,0,0,N/A,0,0,N/A,1,0,0,0,N/A,N/A
埼玉県,2020/1/31,1,0,0,N/A,0,0,N/A,1,0,0,0,N/A,N/A
千葉県,2020/1/31,3,3,0,N/A,0,1,N/A,3,0,0,0,11,N/A
東京都,2020/1/31,11,3,0,N/A,0,0,N/A,2,0,0,0,N/A,N/A
神奈川県,2020/1/31,123,1,0,N/A,0,0,N/A,21,0,0,0,N/A,N/A
新潟県,2020/1/31,9,0,0,N/A,0,0,N/A,1,0,0,0,N/A,N/A
富山県,2020/1/31,0,0,0,N/A,0,0,N/A,0,0,0,0,N/A,N/A
石川県,2020/1/31,0,0,0,N/A,0,0,N/A,0,0,0,0,N/A,N/A
福井県,2020/1/31,0,0,0,N/A,0,0,N/A,0,0,0,0,N/A,N/A
山梨県,2020/1/31,0,0,0,N/A,0,0,N/A,0,0,0,0,N/A,N/A
長野県,2020/1/31,0,0,0,N/A,0,0,N/A,0,0,0,0,N/A,N/A
岐阜県,2020/1/31,0,0,0,N/A,0,0,N/A,0,0,0,0,N/A,N/A
静岡県,2020/1/31,2,0,0,N/A,0,0,N/A,0,0,0,0,N/A,N/A
愛知県,2020/1/31,67,2,0,N/A,0,0,N/A,11,0,0,0,N/A,N/A
三重県,2020/1/31,2,1,0,N/A,0,0,N/A,0,0,0,0,N/A,N/A
滋賀県,2020/1/31,6,0,0,N/A,0,0,N/A,1,0,0,0,N/A,N/A
京都府,2020/1/31,8,1,0,N/A,0,0,N/A,1,0,0,0,N/A,N/A
大阪府,2020/1/31,2,1,0,N/A,0,0,N/A,0,0,0,0,N/A,N/A
兵庫県,2020/1/31,2,0,0,N/A,0,0,N/A,2,0,0,0,N/A,N/A
奈良県,2020/1/31,0,1,0,N/A,0,0,N/A,0,0,0,0,N/A,N/A
和歌山県,2020/1/31,0,0,0,N/A,0,0,N/A,0,1,0,0,N/A,N/A
鳥取県,2020/1/31,2,0,0,N/A,0,0,N/A,1,0,0,0,N/A,N/A
島根県,2020/1/31,0,0,0,N/A,0,0,N/A,0,0,0,0,N/A,N/A
岡山県,2020/1/31,0,0,0,N/A,0,0,N/A,0,0,0,0,N/A,N/A
広島県,2020/1/31,2,0,0,N/A,0,0,N/A,1,0,0,0,N/A,N/A
山口県,2020/1/31,2,0,0,N/A,0,0,N/A,0,0,0,0,N/A,N/A
徳島県,2020/1/31,0,0,0,N/A,0,0,N/A,0,0,0,0,N/A,N/A
香川県,2020/1/31,4,0,0,N/A,0,0,N/A,1,0,0,0,N/A,N/A
愛媛県,2020/1/31,1,0,0,N/A,0,0,N/A,0,0,0,0,N/A,N/A
高知県,2020/1/31,0,0,0,N/A,0,0,N/A,0,0,0,0,N/A,N/A
福岡県,2020/1/31,6,0,0,N/A,0,0,N/A,2,0,0,0,N/A,N/A
佐賀県,2020/1/31,0,0,0,N/A,0,0,N/A,0,0,0,0,N/A,N/A
長崎県,2020/1/31,1,0,0,N/A,0,0,N/A,0,0,0,0,N/A,N/A
熊本県,2020/1/31,16,0,0,N/A,0,0,N/A,3,0,0,0,N/A,N/A
大分県,2020/1/31,2,0,0,N/A,0,0,N/A,0,0,0,0,N/A,N/A
宮崎県,2020/1/31,0,0,0,N/A,0,0,N/A,0,0,0,0,N/A,N/A
